County,Year,Diabetes,Treatment,Obesity,PoorFairHealth,FoodEnvironIndex,PhysInac,Phys,median_age
Baltimore,2020,12.5,Control,0.3640005474,0.19,6.6,0.27,1030,36.1
Baltimore,2021,11.4,Control,0.3530004191,0.19,7.2,0.26,1300,36.1
Philadelphia,2004,8.7,Treatment,0.2570002386,,,,,
Philadelphia,2005,8.8,Treatment,0.2830001162,,,,,
Philadelphia,2006,9.4,Treatment,0.2930000252,,,,,
Philadelphia,2007,9.5,Treatment,0.2930001222,,,,,
Philadelphia,2008,10.2,Treatment,0.312000062,,,,,
Philadelphia,2009,10.7,Treatment,0.3130002519,,,,,
Philadelphia,2010,11.3,Treatment,0.3150002573,,,,,
Philadelphia,2011,11.8,Treatment,0.3100000789,0.21,,,,33.5
Philadelphia,2012,11.9,Treatment,0.3100000867,0.21,,0.3,,33.6
Philadelphia,2013,11,Treatment,0.2930000964,0.2,,0.3,1575,33.7
Philadelphia,2014,11.1,Treatment,0.2980001486,0.2,6.5,0.29,1498,33.9
Philadelphia,2015,10.7,Treatment,0.2950000894,0.2,6.3,0.27,1549,34.1
Philadelphia,2016,10.6,Treatment,0.2750000633,0.23,6.5,0.26,1430,34.3
Philadelphia,2017,10.8,Treatment,0.2920002383,0.23,6.4,0.26,1460,34.4
Philadelphia,2018,11.6,Treatment,0.3000001681,0.2,6.9,0.26,1460,34.6
Philadelphia,2019,11.8,Treatment,0.3090001127,0.2,6.9,0.24,1480,34.7
Philadelphia,2020,11.3,Treatment,0.2900000836,0.22,6.9,0.24,1450,34.9
Philadelphia,2021,10.8,Treatment,0.2890000779,0.24,7.6,0.23,1390,35
Boston,2004,6.6,Control,0.1620002624,,,,,
Boston,2005,7.4,Control,0.2020003261,,,,,
Boston,2006,8.7,Control,0.2210002155,,,,,
Boston,2007,9.2,Control,0.2210001156,,,,,
Boston,2008,8.7,Control,0.220000252,,,,,
Boston,2009,8.5,Control,0.2180002045,,,,,
Boston,2010,9,Control,0.225,,,,,
Boston,2011,9.2,Control,0.2330002322,0.17,,,,31.7
Boston,2012,8.7,Control,0.2700002912,0.18,,0.21,,32
Boston,2013,8.4,Control,0.2180003314,0.17,,0.21,702,32.2
Boston,2014,8.4,Control,0.2210003577,0.17,7.7,0.22,693,32.4
Boston,2015,8.5,Control,0.2160000654,0.17,7.4,0.2,690,32.6
Boston,2016,8.6,Control,0.2120003016,0.16,7.6,0.2,640,32.7
Boston,2017,8.9,Control,0.2240000885,0.16,7.6,0.18,660,32.9
Boston,2018,8.3,Control,0.2090003201,0.17,8.1,0.19,670,33
Boston,2019,8.6,Control,0.2150003045,0.17,8.1,0.18,670,33.2
Boston,2020,8.1,Control,0.2090002534,0.17,8.1,0.19,670,33.4
Boston,2021,8.2,Control,0.2240002612,0.18,8.4,0.19,670,34.1
Hudson,2004,7,Control,0.222000159,,,,,
Hudson,2005,8.1,Control,0.2190000199,,,,,
Hudson,2006,8,Control,0.2280000889,,,,,
Hudson,2007,8.6,Control,0.2390005226,,,,,
Hudson,2008,8.6,Control,0.2470000888,,,,,
Hudson,2009,8.5,Control,0.2540005113,,,,,
Hudson,2010,8.3,Control,0.2400002452,,,,,
Hudson,2011,8.6,Control,0.2600001606,0.25,,,,34.3
Hudson,2012,8.7,Control,0.2490001145,0.24,,0.28,,34.6
Hudson,2013,8,Control,0.24,0.24,,0.28,1890,34.7
Hudson,2014,8.5,Control,0.2420000269,0.23,7.8,0.27,1880,34.9
Hudson,2015,8.5,Control,0.2310002257,0.23,7.7,0.26,1874,35.1
Hudson,2016,8.1,Control,0.2460002889,0.23,8.2,0.25,1870,35.2
Hudson,2017,8.4,Control,0.263000443,0.22,8.3,0.25,1880,35.2
Hudson,2018,8.8,Control,0.2420004027,0.21,8.8,0.25,1920,35.3
Hudson,2019,9.2,Control,0.2400003697,0.21,8.8,0.26,1990,35.4
Hudson,2020,9.5,Control,0.2380003366,0.21,8.7,0.29,1950,35.5
Hudson,2021,9.7,Control,0.2430001924,0.2,8.7,0.29,1890,36
Essex,2004,7.3,Control,0.2490001373,,,,,
Essex,2005,8.4,Control,0.2440003295,,,,,
Essex,2006,8.7,Control,0.2540000684,,,,,
Essex,2007,10.2,Control,0.2700002351,,,,,
Essex,2008,9.7,Control,0.2690004231,,,,,
Essex,2009,9.7,Control,0.2760001585,,,,,
Essex,2010,9.5,Control,0.2630003365,,,,,
Essex,2011,10.1,Control,0.286000304,0.21,,,,36.6
Essex,2012,9.6,Control,0.2840003633,0.19,,0.28,,36.9
Essex,2013,9.9,Control,0.28800029,0.18,,0.28,1197,37
Essex,2014,10.4,Control,0.2910001765,0.17,7.2,0.28,1175,37.2
Essex,2015,10.1,Control,0.3080004384,0.17,6.9,0.27,1185,37.4
Essex,2016,9.9,Control,0.2920004321,0.2,7.1,0.27,1200,37.5
Essex,2017,10.2,Control,0.3130004842,0.21,7,0.26,1210,37.5
Essex,2018,10.5,Control,0.2940004149,0.21,7.5,0.25,1220,37.6
Essex,2019,9.7,Control,0.284500313,0.21,7.6,0.26,1220,37.7
Essex,2020,8.8,Control,0.275000211,0.19,7.6,0.28,1200,37.9
Essex,2021,9.6,Control,0.300000317,0.21,8.2,0.29,1180,37.8
Queens,2004,6.9,Control,0.18,,,,,
Queens,2005,7.5,Control,0.191000014,,,,,
Queens,2006,7.3,Control,0.1990001122,,,,,
Queens,2007,7.6,Control,0.2390000173,,,,,
Queens,2008,8.3,Control,0.2340001069,,,,,
Queens,2009,8.6,Control,0.2240000546,,,,,
Queens,2010,8.9,Control,0.2180000745,,,,,
Queens,2011,9,Control,0.2170001051,0.2,,,,37.5
Queens,2012,9.9,Control,0.2090000199,0.19,,0.28,,37.7
Queens,2013,10.6,Control,0.2320000449,0.18,,0.28,1512,37.9
Queens,2014,10.4,Control,0.2350000943,0.18,8.4,0.28,1529,38.1
Queens,2015,9.9,Control,0.2430000487,0.18,8.1,0.27,1510,38.3
Queens,2016,10,Control,0.2280000958,0.18,8.2,0.28,1530,38.6
Queens,2017,10.2,Control,0.2340000814,0.18,8.2,0.28,1530,38.9
Queens,2018,10.6,Control,0.251000066,0.18,8.7,0.29,1550,39.3
Queens,2019,11.2,Control,0.247000079,0.18,8.8,0.28,1570,39.6
Queens,2020,10.7,Control,0.25,0.19,8.7,0.28,1610,39.9
Queens,2021,10.8,Control,0.2690000993,0.19,8.9,0.28,1530,40.5
