County,Year,Diabetes,Treatment,Obesity
Philadelphia,2008,10.2,Treatment,0.312000062
Philadelphia,2009,10.7,Treatment,0.3130002519
Philadelphia,2010,11.3,Treatment,0.3150002573
Philadelphia,2011,11.8,Treatment,0.3100000789
Philadelphia,2012,11.9,Treatment,0.3100000867
Philadelphia,2013,11,Treatment,0.2930000964
Philadelphia,2014,11.1,Treatment,0.2980001486
Philadelphia,2015,10.7,Treatment,0.2950000894
Philadelphia,2016,10.6,Treatment,0.2750000633
Philadelphia,2017,10.8,Treatment,0.2920002383
Philadelphia,2018,11.6,Treatment,0.3000001681
Philadelphia,2019,11.8,Treatment,0.3090001127
Philadelphia,2020,11.3,Treatment,0.2900000836
Philadelphia,2021,10.8,Treatment,0.2890000779
Denver,2004,4.8,Control,0.1480003056
Denver,2005,5,Control,0.1660003103
Denver,2006,5,Control,0.1770003774
Denver,2007,5.2,Control,0.1680000373
Denver,2008,5.5,Control,0.1850003662
Denver,2009,6.4,Control,0.2010000764
Denver,2010,6.4,Control,0.1850001194
Denver,2011,7.3,Control,0.1900001058
Denver,2012,7.7,Control,0.1950002779
Denver,2013,7.2,Control,0.1880003205
Denver,2014,6.8,Control,0.1760001559
Denver,2015,6.3,Control,0.1860002008
Denver,2016,5.7,Control,0.1760002369
Denver,2017,5.9,Control,0.1830000636
Denver,2018,6.3,Control,0.1960002252
Denver,2019,6.5,Control,0.1940002058
Denver,2020,6.8,Control,0.1960001782
Denver,2021,6.7,Control,0.2170002716
Chicago,2004,6.6,Control,0.2170000018
Chicago,2005,7.5,Control,0.2290000018
Chicago,2006,7.5,Control,0.2290000029
Chicago,2007,8.3,Control,0.2340000131
Chicago,2008,8.3,Control,0.2400000314
Chicago,2009,8,Control,0.2710000575
Chicago,2010,9.1,Control,0.2640000439
Chicago,2011,9.1,Control,0.2700000624
Chicago,2012,8,Control,0.2540000382
Chicago,2013,8.4,Control,0.2590000179
Chicago,2014,8.7,Control,0.2590000303
Chicago,2015,8.9,Control,0.2920000326
Chicago,2016,9.1,Control,0.2840000436
Chicago,2017,9,Control,0.2780000214
Chicago,2018,9,Control,0.2810000689
Chicago,2019,8.9,Control,0.2660000169
Chicago,2020,8.5,Control,0.2680000369
Chicago,2021,8.6,Control,0.289000031
